Register_ID;Country;Validation;Began;Ended;Duration in Days;Dead;Displaced;Main cause;Severity;Affected sq km;Magnitude;Longitude of Centroid X;Latitude of Centroid Y;M>6;Total annual floods M>6;M>4;Total annual floods M>4;Date Began;Total floods M>6;Total floods M>4
2785;Philippines;News;26/01/2006;05/02/2006;11;4;256641;Heavy rain;1;63468;5.84;121.82;17.02;0;1;1;7;26/01/2006;636;2342
2784;Greece;News;02/01/2006;20/01/2006;19;0;0;Snowmelt;1;4583;4.94;26.47;41.55;0;1;1;6;02/01/2006;636;2341
2783;Namibia;News;18/01/2006;18/01/2006;1;0;0;Heavy rain;1;1298;3.11;15.71;-25.48;0;1;0;5;18/01/2006;636;2340
2782;Guyana;News;08/01/2006;14/02/2006;38;20;5000;Heavy rain;1;24217;5.96;-58.66;6.89;0;1;1;5;08/01/2006;636;2340
2781;Trinidad;News;14/01/2006;17/01/2006;4;0;600;Heavy rain;2;2252;4.26;-61.24;10.32;0;1;1;4;14/01/2006;636;2339
2780;Australia;News;09/01/2006;31/01/2006;23;0;1500;Tropical Cyclone;2;808060;7.57;116.94;-23.26;1;1;1;3;09/01/2006;636;2338
2779;Indonesia;News;08/01/2006;12/01/2006;5;0;6000;Heavy rain;1;913;3.66;108.22;-6.38;0;0;0;2;08/01/2006;635;2337
2778;Hungary;News;03/01/2006;11/01/2006;9;0;0;Heavy rain;1;45838;5.62;19.58;47.72;0;0;1;2;03/01/2006;635;2337
2777;Indonesia;News;01/01/2006;04/01/2006;4;125;7781;Monsoonal rain;1;2551;4.01;113.34;-8.02;0;0;1;1;01/01/2006;635;2336
2776;USA;News;31/12/2005;18/01/2006;19;0;4000;Heavy rain;1;140515;6.43;-121.1;39.49;1;57;1;143;31/12/2005;635;2335
2775;Congo Republic;News;24/12/2005;28/12/2005;5;1;0;Heavy rain;1;1103;3.74;15.21;-4.13;0;56;0;142;24/12/2005;634;2334
2774;Western Sahara;News;22/12/2005;26/12/2005;5;0;3000;Heavy rain;2;114099;6.06;-10.88;27.12;1;56;1;142;22/12/2005;634;2334
2773;Malawi;News;22/12/2005;07/02/2006;48;23;50000;Heavy rain;2;224148;7.33;37.17;-17.24;1;55;1;141;22/12/2005;633;2333
2772;Phillipines;News;05/12/2005;29/12/2005;25;9;60000;Monsoonal rain;1;4630;5.06;119.17;10.09;0;54;1;140;05/12/2005;632;2332
2771;Canada;News;05/12/2005;16/12/2005;12;0;56;Ice jam/break-up;2;1835;4.64;-98.25;51.85;0;54;1;139;05/12/2005;632;2331
2770;Vietnam;News;04/12/2005;24/12/2005;21;62;20000;Heavy rain;1;63089;6.12;108.58;13.61;1;54;1;138;04/12/2005;632;2330
2769;Albania;News;30/11/2005;03/12/2005;4;3;0;Heavy rain;1;10408;4.62;20.21;40.47;0;53;1;137;30/11/2005;631;2329
2768;Thailand;News;23/11/2005;12/01/2006;51;69;700000;Monsoonal rain;2;70521;6.86;100.12;7.2;1;53;1;136;23/11/2005;631;2328
2767;Sri Lanka;News;21/11/2005;23/11/2005;3;6;8000;Heavy rain;1;30136;4.96;79.95;7.91;0;52;1;135;21/11/2005;630;2327
2766;Vietnam;News;18/11/2005;21/11/2005;4;5;3000;Heavy rain;1;16016;4.81;108.1;15.53;0;52;1;134;18/11/2005;630;2326
2765;Jamaica;News;15/11/2005;17/11/2005;3;3;0;Heavy rain;1;762;3.36;-76.94;18.17;0;52;0;133;15/11/2005;630;2325
